child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes,all_dois,vivc_derived_from,vivc_primary_doi,vivc_unloaded_dois
AIGENI SEV,ARAKSENI CHERNYI,Parent 1,SSR,SSR,,,VIVC passport (via Margaryan 2021),10.3390/biology10121279,,confirmed,ARAKSENI CHERNYI X ARARATI,10.3390/biology10121279,Margaryan 2021,10.3390/biology10121279,
AIGENI SEV,ARARATI,Parent 2,SSR,SSR,,,VIVC passport (via Margaryan 2021),10.3390/biology10121279,,confirmed,ARAKSENI CHERNYI X ARARATI,10.3390/biology10121279,Margaryan 2021,10.3390/biology10121279,
AKITSIS,MAURO,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,MAURO X XYNISTERI,,none,,
AKITSIS,XYNISTERI,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,MAURO X XYNISTERI,,none,,
ALARIJE,GIBI,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,GIBI X TORTOZON,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
ALARIJE,TORTOZON,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,GIBI X TORTOZON,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,
ALBA,MOLINERA GORDA,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,MOLINERA GORDA X CARDINAL,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ALBA,CARDINAL,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,MOLINERA GORDA X CARDINAL,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ALBALONGA,RIESLANER,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,RIESLANER X MUELLER THURGAU,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ALBALONGA,MUELLER THURGAU,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,RIESLANER X MUELLER THURGAU,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ALBAROSSA,CHATUS,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020),10.3389/fpls.2020.605934,,confirmed,CHATUS  X BARBERA,10.1016/j.scienta.2017.02.044; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020,10.1016/j.scienta.2017.02.044,10.1016/j.scienta.2017.02.044
ALBAROSSA,BARBERA,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020),10.3389/fpls.2020.605934,,confirmed,CHATUS  X BARBERA,10.1016/j.scienta.2017.02.044; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020,10.1016/j.scienta.2017.02.044,10.1016/j.scienta.2017.02.044
ALBEMARLE,TOPSAIL,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.21273/JASHS.133.4.559,,confirmed,TOPSAIL X PARENT 2 WAS NOT CONFIRMED,10.21273/JASHS.133.4.559,none,10.21273/JASHS.133.4.559,10.21273/JASHS.133.4.559
ALBEMARLE,PARENT 2 WAS NOT CONFIRMED,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.21273/JASHS.133.4.559,,confirmed,TOPSAIL X PARENT 2 WAS NOT CONFIRMED,10.21273/JASHS.133.4.559,none,10.21273/JASHS.133.4.559,10.21273/JASHS.133.4.559
ALBILLO DE GRANADA,HEBIEN,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Laucou 2018),10.3389/fpls.2020.605934,,confirmed,HEBEN X TORTOZON,10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Laucou 2018,10.1371/journal.pone.0192540,
ALBILLO DE GRANADA,TORTOZON,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Laucou 2018),10.3389/fpls.2020.605934,,confirmed,HEBEN X TORTOZON,10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Laucou 2018,10.1371/journal.pone.0192540,
ALDEN,ONTARIO,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,ONTARIO X RIBIER,,none,,
ALDEN,RIBIER,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,ONTARIO X RIBIER,,none,,
FEPIRO,GRAND NOIR,Parent 1,SSR,SSR,,,VIVC passport (via Cunha 2020),10.3389/fpls.2020.00127,,confirmed,GRAND NOIR X FERNAO PIRES,10.3389/fpls.2020.00127,Cunha 2020,10.3389/fpls.2020.00127,
FEPIRO,FERNAO PIRES,Parent 2,SSR,SSR,,,VIVC passport (via Cunha 2020),10.3389/fpls.2020.00127,,confirmed,GRAND NOIR X FERNAO PIRES,10.3389/fpls.2020.00127,Cunha 2020,10.3389/fpls.2020.00127,
ALICANTE HENRI BOUSCHET,PETIT BOUSCHET,Parent 1,SSR,SSR,,,VIVC passport (via Cipriani 2010; Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,PETIT BOUSCHET X GRENACHE,10.1007/s00122-010-1411-9; 10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Cipriani 2010; Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-010-1411-9,
ALICANTE HENRI BOUSCHET,GRENACHE NOIR,Parent 2,SSR,SSR,,,VIVC passport (via Cipriani 2010; Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,PETIT BOUSCHET X GRENACHE,10.1007/s00122-010-1411-9; 10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934,Cipriani 2010; Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-010-1411-9,
ALIGOTE,PINOT,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,HEUNISCH WEISS X PINOT,10.1007/s00122-012-1988-2; 10.1126/science.285.5433.1562; 10.3103/S0095452718050031,Lacombe 2013,10.1007/s00122-012-1988-2,10.1126/science.285.5433.1562; 10.3103/S0095452718050031
ALLEN'S HYBRID,ISABELLA,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,ISABELLA X TROLLINGER,,none,,
ALLEN'S HYBRID,TROLLINGER,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,ISABELLA X TROLLINGER,,none,,
ALNWICK SEEDLING,BLACK MOROCCO,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,BLACK MOROCCO X FRANKENTHAL,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ALNWICK SEEDLING,FRANKENTHAL,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,BLACK MOROCCO X FRANKENTHAL,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ALPHONSE LAVALLEE,KARISTVALA KOLKHURI,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,KARISTVALA KOLKHURI X MUSCAT HAMBURG,10.1007/s00122-012-1988-2; 10.3103/S0095452718050031; 10.3389/fpls.2020.605934; 10.3390/plants10122696,Lacombe & Emanuelli 2020; Lacombe 2013,10.1007/s00122-012-1988-2,10.3103/S0095452718050031; 10.3390/plants10122696
ALPHONSE LAVALLEE,MUSCAT HAMBURG,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,KARISTVALA KOLKHURI X MUSCAT HAMBURG,10.1007/s00122-012-1988-2; 10.3103/S0095452718050031; 10.3389/fpls.2020.605934; 10.3390/plants10122696,Lacombe & Emanuelli 2020; Lacombe 2013,10.1007/s00122-012-1988-2,10.3103/S0095452718050031; 10.3390/plants10122696
ALVARELHAO CEITAO,HEBIEN,Parent 1,SSR,SSR,,,VIVC passport (via Cunha 2020),10.3389/fpls.2020.00127,,confirmed,HEBEN X ALVARELHAO,10.3389/fpls.2020.00127,Cunha 2020,10.3389/fpls.2020.00127,
ALVARELHAO CEITAO,ALVARELHAO,Parent 2,SSR,SSR,,,VIVC passport (via Cunha 2020),10.3389/fpls.2020.00127,,confirmed,HEBEN X ALVARELHAO,10.3389/fpls.2020.00127,Cunha 2020,10.3389/fpls.2020.00127,
CAINO BLANCO,CAINO BRAVO,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,CAINO BRAVO X ALBARINO,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934; 10.5344/ajev.2011.10040,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,10.5344/ajev.2011.10040
CAINO BLANCO,ALVARINHO,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018),10.1007/s00122-012-1988-2,,confirmed,CAINO BRAVO X ALBARINO,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934; 10.5344/ajev.2011.10040,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018,10.1007/s00122-012-1988-2,10.5344/ajev.2011.10040
ALVARINHO LILAS,MONTUA,Parent 1,SSR,SSR,,,VIVC passport (via Cunha 2020),10.3389/fpls.2020.00127,,confirmed,MONTUA X UVA CAO,10.3389/fpls.2020.00127,Cunha 2020,10.3389/fpls.2020.00127,
ALVARINHO LILAS,UVA CAO,Parent 2,SSR,SSR,,,VIVC passport (via Cunha 2020),10.3389/fpls.2020.00127,,confirmed,MONTUA X UVA CAO,10.3389/fpls.2020.00127,Cunha 2020,10.3389/fpls.2020.00127,
ALZEY 23384,BUCKLAND SWEET WATER,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,BUCKLAND SWEET WATER X MALINGRE PRECOCE,,none,,
ALZEY 23384,MALINGRE PRECOCE,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,BUCKLAND SWEET WATER X MALINGRE PRECOCE,,none,,
AMBER QUEEN,MARION,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,MARION X SCHIAVA GROSSA,,none,,
AMBER QUEEN,SCHIAVA GROSSA,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,MARION X SCHIAVA GROSSA,,none,,
BRANCA DE ANADIA,FERNAO PIRES,Parent 1,SSR,SSR,,,VIVC passport (via Cunha 2020),10.3389/fpls.2020.00127,,confirmed,FERNAO PIRES X MONTUA,10.3389/fpls.2020.00127,Cunha 2020,10.3389/fpls.2020.00127,
BRANCA DE ANADIA,MONTUA,Parent 2,SSR,SSR,,,VIVC passport (via Cunha 2020),10.3389/fpls.2020.00127,,confirmed,FERNAO PIRES X MONTUA,10.3389/fpls.2020.00127,Cunha 2020,10.3389/fpls.2020.00127,
ANCORAT,SAMOURIAU,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,SAMOURIAU X HEUNISCH WEISS,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ANCORAT,GOUAIS BLANC,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,SAMOURIAU X HEUNISCH WEISS,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ANGELO PIROVANO,CHASSELAS ROSE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,CHASSELAS ROSE X MUSCAT HAMBURG,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ANGELO PIROVANO,MUSCAT HAMBURG,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,CHASSELAS ROSE X MUSCAT HAMBURG,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ANNAMARIA,PERLE VON CSABA,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,PERLE VON CSABA X DELIZIA DI VAPRIO,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ANNAMARIA,DELIZIA DI VAPRIO,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,PERLE VON CSABA X DELIZIA DI VAPRIO,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ANTAO VAZ,PARDINA = JAEN BLANCO,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,PARDINA = JAEN BLANCO X JOAO DOMINGOS,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ANTAO VAZ,JOAO DOMINGOS,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,PARDINA = JAEN BLANCO X JOAO DOMINGOS,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
APIRENA BRUNI,REGINA DEI VIGNETI,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,REGINA DEI VIGNETI X SULTANINA,,none,,
APIRENA BRUNI,SULTANINA,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,REGINA DEI VIGNETI X SULTANINA,,none,,
ARAGATSI,KHOUSSAINE BLANC,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018; Margaryan 2021),10.1007/s00122-012-1988-2,,confirmed,KHOUSSAINE BLANC X SULTANINE,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934; 10.3390/biology10121279,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018; Margaryan 2021,10.1007/s00122-012-1988-2,
ARAGATSI,SULTANINE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018; Margaryan 2021),10.1007/s00122-012-1988-2,,confirmed,KHOUSSAINE BLANC X SULTANINE,10.1007/s00122-012-1988-2; 10.1371/journal.pone.0192540; 10.3389/fpls.2020.605934; 10.3390/biology10121279,Lacombe & Emanuelli 2020; Lacombe 2013; Laucou 2018; Margaryan 2021,10.1007/s00122-012-1988-2,
ARAMON NOIR,OULIVEN,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,OULIVEN X HEUNISCH WEISS,10.1007/s00122-012-1988-2; 10.1007/s00122-019-03320-5; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013,10.1007/s00122-012-1988-2,10.1007/s00122-019-03320-5
ARAMON NOIR,GOUAIS BLANC,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe & Emanuelli 2020; Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,OULIVEN X HEUNISCH WEISS,10.1007/s00122-012-1988-2; 10.1007/s00122-019-03320-5; 10.3389/fpls.2020.605934,Lacombe & Emanuelli 2020; Lacombe 2013,10.1007/s00122-012-1988-2,10.1007/s00122-019-03320-5
ARAMON PETIT,MUNSON,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,MUNSON X CINSAUT,,none,,
ARAMON PETIT,CINSAUT,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,MUNSON X CINSAUT,,none,,
ARENI SPITAK,TOZOT,Parent 1,SSR,SSR,,,VIVC passport (via Margaryan 2021),10.3390/biology10121279,,confirmed,TOZOT X ARENI SEV,10.20870/oeno-one.2021.55.4.4815; 10.3390/biology10121279,Margaryan 2021,10.20870/oeno-one.2021.55.4.4815,10.20870/oeno-one.2021.55.4.4815
ARENI SPITAK,ARENI SEV,Parent 2,SSR,SSR,,,VIVC passport (via Margaryan 2021),10.3390/biology10121279,,confirmed,TOZOT X ARENI SEV,10.20870/oeno-one.2021.55.4.4815; 10.3390/biology10121279,Margaryan 2021,10.20870/oeno-one.2021.55.4.4815,10.20870/oeno-one.2021.55.4.4815
ARINARNOA,TANNAT,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,TANNAT X CABERNET SAUVIGNON,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ARINARNOA,CABERNET SAUVIGNON,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,TANNAT X CABERNET SAUVIGNON,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ARMAS,COARNA ALBA,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,COARNA ALBA X FRANCUSE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ARMAS,FRANCUSE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,COARNA ALBA X FRANCUSE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ARNSBURGER,MUELLER-THURGAU,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,MUELLER-THURGAU X WEISSER GUTEDEL,,none,,
ARNSBURGER,WEISSER GUTEDEL,Parent 2,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),,,confirmed,MUELLER-THURGAU X WEISSER GUTEDEL,,none,,
AROMATICA,MUSCAT HAMBURG,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,MUSCAT HAMBURG X CICLOPICA,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
AROMATICA,CICLOPICA,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,MUSCAT HAMBURG X CICLOPICA,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
AROMRIESLING,RIESLING,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,RIESLING X MUSCAT PRECOCE DE COURTILLER,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
AROMRIESLING,MUSCAT PRECOCE DE COURTILLER,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,RIESLING X MUSCAT PRECOCE DE COURTILLER,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ARPAD,KECSKEMET KINCSE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,KECSKEMET KINCSE X  MUSCAT D'ALEXANDRIE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ARPAD,MUSCAT D'ALEXANDRIE,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,KECSKEMET KINCSE X  MUSCAT D'ALEXANDRIE,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ARRILOBA,RAFFIAT DE MONCADE,Parent 1,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,RAFFIAT DE MONCADE X SAUVIGNON BLANC,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ARRILOBA,SAUVIGNON BLANC,Parent 2,SSR,SSR,,,VIVC passport (via Lacombe 2013),10.1007/s00122-012-1988-2,,confirmed,RAFFIAT DE MONCADE X SAUVIGNON BLANC,10.1007/s00122-012-1988-2,Lacombe 2013,10.1007/s00122-012-1988-2,
ARTURO MARESCALCHI,ANGELO PIROVANO,Parent 1,SSR,SSR,,,VIVC passport (pedigree confirmed by markers),10.1007/s11295-014-0746-9,,confirmed,ANGELO PIROVANO X ITALIA,10.1007/s11295-014-0746-9,none,10.1007/s11295-014-0746-9,10.1007/s11295-014-0746-9
