child_variety,vivc_no,source_code,author,year,title,doi,n_loci
CASTELAO,2324,1083,"LAUCOU, V.; LAUNAY, A.; BACILIERI, R.; LACOMBE, T.; ADAM-BLONDON, A. F.; BERARD, A.; CHAUVEAU, A.; ANDRES, M. T. DE; HAUSMANN, L.; IBANEZ, J.; PASLIER, M. C. LE; MAGHRADZE, D.; MARTINEZ-ZAPATER, J. M.",2018,Extended diversity analysis of cultivated grapevine,10.1371/journal.pone.0192540,
CASTELAO,2324,40255,"ZINELABIDINE, L. H.; HADDIOUI, A.; RODRIGUEZ, V.; CABELLO, F.; EIRAS-DIAS, J. E.; MARTINEZ-ZAPATER, J. M.; IBANEZ, J.",2012,Identification by SNP analysis of a major role for Cayetana Blanca in the genetic network of Iberian Peninsula grapevine varieties,10.5344/ajev.2011.11052,
CASTELAO BRANCO,2321,40860,"CUNHA, J.; IBANEZ, J.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.;  MARTINEZ-ZAPATER, J. M.; EIRAS-DIAS, J. E.",2020,Genetic Relationships Among Portuguese Cultivated and Wild Vitis vinifera L. germplasm,10.3389/fpls.2020.00127,
CASTELAO BRANCO,2321,40489,"CUNHA, J.; ZINELABIDINE, L. H.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.; MARTINEZ-ZAPATER, J. M.; IBANEZ, J.; EIRAS-DIAS, J. E.",2015,Grapevine cultivar 'Alfrocheiro' or 'Brunal' plays a primary role in the relationship among Iberian grapevines,10.5073/vitis.2015.54.special-issue.59-65,21
CASTELAO BRANCO,2321,863,"ZINELABIDINE, L. H.; CUNHA, J.; EIRAS-DIAS, J. E.; CABELLO, F.; MARTINEZ-ZAPATER, J. M.; IBANEZ, J.",2015,Pedigree analysis of the Spanish grapevine cultivar 'Heben',10.5073/vitis.2015.54.special-issue.81-86,
CASTELO BRANCO,23974,40860,"CUNHA, J.; IBANEZ, J.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.;  MARTINEZ-ZAPATER, J. M.; EIRAS-DIAS, J. E.",2020,Genetic Relationships Among Portuguese Cultivated and Wild Vitis vinifera L. germplasm,10.3389/fpls.2020.00127,
CASTELO BRANCO,23974,40096,"MAGALHAES, R.; FARIA, M.A.; SANTOS, N.M.M.; DIAS, J.E.E.; MAGALHAES, N.; MEREDITH, C.P.; MONTEIRO, F.F.",2003,Verifying the identity and parentage of Cruzado de Rabo de Ovelha with microsatellite markers,,12
CASTELOA,23126,40860,"CUNHA, J.; IBANEZ, J.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.;  MARTINEZ-ZAPATER, J. M.; EIRAS-DIAS, J. E.",2020,Genetic Relationships Among Portuguese Cultivated and Wild Vitis vinifera L. germplasm,10.3389/fpls.2020.00127,
CASTELOA,23126,40489,"CUNHA, J.; ZINELABIDINE, L. H.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.; MARTINEZ-ZAPATER, J. M.; IBANEZ, J.; EIRAS-DIAS, J. E.",2015,Grapevine cultivar 'Alfrocheiro' or 'Brunal' plays a primary role in the relationship among Iberian grapevines,10.5073/vitis.2015.54.special-issue.59-65,21
CASTETS,2325,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
CASTETS,2325,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
CASTETS,2325,1083,"LAUCOU, V.; LAUNAY, A.; BACILIERI, R.; LACOMBE, T.; ADAM-BLONDON, A. F.; BERARD, A.; CHAUVEAU, A.; ANDRES, M. T. DE; HAUSMANN, L.; IBANEZ, J.; PASLIER, M. C. LE; MAGHRADZE, D.; MARTINEZ-ZAPATER, J. M.",2018,Extended diversity analysis of cultivated grapevine,10.1371/journal.pone.0192540,
CATARRATTO BIANCO COMUNE,2341,40672,"CRESPAN, M.; STORCHI, P.; MIGLIARO, D.",2017,Grapevine Cultivar Mantonico bianco is the Second Parent of the Sicilian Catarratto,10.5344/ajev.2016.16068,47
CATARRATTO BIANCO COMUNE,2341,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
CATARRATTO BIANCO COMUNE,2341,40706,"LORENZIS, G. DE; MERCATI, F.; BERGAMINI, C.; CARDONE, M. F.; LUPINI, A.;",2019,"MAUCERI, A.; CAPUTO, A. R.; ABBATE, L.; BARBAGALLO, M. G.; ANTONACCI, D.;",10.1186/s12870-018-1576-y,
CATARRATTO BIANCO FAUX,22952,40156,"DI VECCHI STARAZ, M.; BANDIENLLI, R.; BOSELLI, M.; THIS, P.; BOURSIQUOT, J.-M.; LAUCOU, V.; LACOMBE, T.; VARES, D.",2007,Genetic structuring and parentage analysis for evolutionary studies in grapevine: Kinggroup and origin of the cultivar Sangiovese revealed,10.21273/JASHS.132.4.514,38
CATARRATTO BIANCO FAUX,22952,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
CATARRATTONE,2344,40183,"CIPRIANI, G.; SPADOTTO, A.; JURMAN, I.; GASPERO, G. DI; CRESPAN, M.; MENEGHETTI, S.; FRARE, E.; VIGNANI, R.; CRESTI, M.; MORGANTE, M.; PEZZOTTI, M.; PE, E.; POLICRITI, A.; TESTOLIN, R.",2010,The SSR-based molecular profile of 1005 grapevine (,10.1007/s00122-010-1411-9,34
CATAWBA,2346,40517,"HUBER, F.; RÖCKEL, F.; SCHWANDER, F.; MAUL, E.; EIBACH, R.; COUSINS, P.; TÖPFER, R.",2016,A view into American grapevine history:,10.5073/vitis.2016.55.53-56,38
CAYUGA WHITE,2359,40144,"BAUTISTA, J.; DANGL, G. S.; YANG, J.; REISCH, B.; STOVER, E.",2008,Use of genetic markers to assess pedigrees of grape cultivars and breeding program selections,,15
CEAUS ROZ FAUX,41922,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
CEGLED SZEPE,2366,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
CELTICA,23017,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
CERCEAL BRANCO,2389,40860,"CUNHA, J.; IBANEZ, J.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.;  MARTINEZ-ZAPATER, J. M.; EIRAS-DIAS, J. E.",2020,Genetic Relationships Among Portuguese Cultivated and Wild Vitis vinifera L. germplasm,10.3389/fpls.2020.00127,
CERCIAL,16437,40860,"CUNHA, J.; IBANEZ, J.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.;  MARTINEZ-ZAPATER, J. M.; EIRAS-DIAS, J. E.",2020,Genetic Relationships Among Portuguese Cultivated and Wild Vitis vinifera L. germplasm,10.3389/fpls.2020.00127,
CERCIAL,16437,40179,"LOPES, M.S.; RODRIGUES DOS SANTOS, M.; EIRAS-DIAS, J.E.; MENDONCA, D.; DA CAMARA MACHADO, A.",2006,Discrimination of Portuguese grapevines based on microsatellite markers,10.1016/j.jbiotec.2006.06.006,28
CEREZA,2390,40680,"ALIQUO, G.; TORRES, R.; LACOMBE, T.; BOURSIQUOT, J. - M.; LAUCOU, V.; GUALPA, J.; FANZONE, M.; SARI, S.; PEREZ PENA, J.; PRIETO, J. A.",2017,Identity and parentage of some South American grapevine cultivars present in Argentina,10.1111/ajgw.12282,19
CEREZA,2390,40347,"GHAFFARI, S.; HASNAOUI, N.; ZINELABIDINE, L. H.; FERCHICHI, A.; MARTINEZ-ZAPATER, J. M.; IBANEZ, J.",2014,Genetic diversity and parentage of Tunisian wild and cultivated grapevines (,10.1007/s11295-014-0746-9,
CEREZA,2390,40151,"IBANEZ, J.; VARGAS, A. M.; PALANCAR, M.; BORREGO, J.; ANDRES, M. T. DE",2009,Genetic relationships among table-grape varieties,,25
CEREZA,2390,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
CEREZA,2390,521,"THIS, P.; LACOMBE, T.; THOMAS, M.R.",2006,Historical origin and genetic diversity of wine grapes,10.1016/j.tig.2006.07.008,20
CEREZA,2390,40942,"TORRES, R.; ALIQUÓ, G.; TORO, A.; FERNANDEZ, F.; TORNELLO, S.; PALAZZO, E.; SARI, S.; FANZONE, M.; DE BIAZI, F.; OVIEDO, H.J.; SEGURA, R.; LAUCOU, V.; LACOMBE, T.; PRIETO, J.A.",2022,Identification and recovery of local,10.1111/ajgw.12561,20
CEREZA ELIPSOIDAL,25793,40680,"ALIQUO, G.; TORRES, R.; LACOMBE, T.; BOURSIQUOT, J. - M.; LAUCOU, V.; GUALPA, J.; FANZONE, M.; SARI, S.; PEREZ PENA, J.; PRIETO, J. A.",2017,Identity and parentage of some South American grapevine cultivars present in Argentina,10.1111/ajgw.12282,19
CESAR,2400,40038,"BOWERS, J.E.; SIRET, R.; MEREDITH, C.P.; THIS, P.; BOURSIQUOT, J.-M.",2000,A single pair of parents proposed for a group of grapevine varieties in northeastern France,,32
CESAR,2400,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
CESAR,2400,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
CESAR,2400,1083,"LAUCOU, V.; LAUNAY, A.; BACILIERI, R.; LACOMBE, T.; ADAM-BLONDON, A. F.; BERARD, A.; CHAUVEAU, A.; ANDRES, M. T. DE; HAUSMANN, L.; IBANEZ, J.; PASLIER, M. C. LE; MAGHRADZE, D.; MARTINEZ-ZAPATER, J. M.",2018,Extended diversity analysis of cultivated grapevine,10.1371/journal.pone.0192540,
CHAMBOURCIN,2436,40828,"RÖCKEL, F.; TRAPP, O.; ZYPRIAN, E.; HAUSMANN, L.; MIGLIARO, D.; VEZZULLI, S.; TÖPFER, R.; MAUL, E.",2021,"A 'Regent' pedigree update: ancestors, offspring and their confirmed resistance loci",10.5073/vitis.2021.60.189-193,24
CHANCELLOR,2446,40828,"RÖCKEL, F.; TRAPP, O.; ZYPRIAN, E.; HAUSMANN, L.; MIGLIARO, D.; VEZZULLI, S.; TÖPFER, R.; MAUL, E.",2021,"A 'Regent' pedigree update: ancestors, offspring and their confirmed resistance loci",10.5073/vitis.2021.60.189-193,24
CHAOUCH ROZOVYI,2507,40858,"KARASTAN, O. M.; MULIUKINA, N. A.; PAPINA, O. S.",2018,Verification of grape pedigree by microsatellite analysis,10.3103/S0095452718050031,9
